Site-ID,Station Name,Latitutde,Longitude,"MAT
(°C)","MAP
(mm)","Transmissivit
y","Cloud cover
(%)","Aridity
index"
AR-SLu,San Luis,-33.46,-66.46,20.57,351.7,0.68,34.51,0.33
AT-Neu,Neustift,47.12,11.32,6.8,668.1,0.43,59.39,1.14
AU-ASM,Alice Springs,-22.28,133.25,22.75,302.1,0.67,29.93,0.17
AU-Cpr,Calperum,-34,140.59,17.91,321.6,0.59,42.54,0.17
AU-Cum,"Cumberland
Plains",-33.61,150.72,18.69,595.85,0.55,51.06,0.66
AU-DaP,"Daly River
Savanna",-14.06,131.32,25.45,1491.64,0.62,47.14,0.58
AU-DaS,"Daly River
Cleared",-14.16,131.39,26.65,1432.1,0.6,44.45,0.56
AU-Dry,Dry River,-15.26,132.37,27.13,786.9,0.63,44.53,0.41
AU-Emr,"Emerald,
Queensland,
Australia",-23.86,148.47,21.39,642.05,0.55,39.36,0.38
AU-GWW,"Great Western
Woodlands,
Western
Australia,
Australia",-30.19,120.65,19.92,364.61,0.63,34.06,0.18
AU-Gin,Gingin,-31.38,115.71,19.05,588.96,0.62,38.95,0.51
AU-How,Howard Springs,-12.49,131.15,26.57,1782.79,0.58,52.72,0.85
AU-Rig,Riggs Creek,-36.65,145.58,15.58,359.04,0.58,45.98,0.51
AU-Rob,"Robson Creek,
Queensland,
Australia",-17.12,145.63,21.72,1909.67,0.5,65.1,1.47
AU-Stp,Sturt Plains,-17.15,133.35,26.24,737.74,0.65,39.1,0.28
AU-TTE,Ti Tree East,-22.29,133.64,23.82,275.5,0.67,27.64,0.17
AU-Tum,Tumbarumba,-35.66,148.15,9.46,897.44,0.55,59.74,1.46
AU-Wom,Wombat,-37.42,144.09,11.41,839.42,0.5,62.73,1.02
AU-Ync,Jaxa,-34.99,146.29,18.14,613.97,0.62,41.36,0.32
BE-Bra,Brasschaat,51.31,4.52,10.52,830.86,0.37,73.58,1.11
BE-Lon,Lonzee,50.55,4.75,11.56,2159.9,0.41,73.75,1.12
BE-Vie,Vielsalm,50.31,6,8.31,964.7,0.37,76.83,1.65
BR-Sa1,"Santarem-Km67-Primary
Forest",-2.86,-54.96,26.16,2075,0.52,77.98,1.21
BR-Sa3,"Santarem-Km83-Logged
Forest",-3.02,-54.97,25.85,1408.04,0.45,75.84,1.19
CA-Gro,"Ontario -Groundhog
River, Boreal
Mixedwood
Forest",48.22,-82.16,3.33,751.98,0.44,67.36,1.03
CA-NS1,"UCI-1850 burn
site",55.88,-98.48,1.31,209.97,0.48,54.91,0.86
CA-NS2,"UCI-1930 burn
site",55.91,-98.52,-1.85,280.45,0.46,55.43,0.86
CA-NS3,"UCI-1964 burn
site",55.91,-98.38,1.5,281.72,0.47,56.02,0.86
CA-NS4,"UCI-1964 burn
site wet",55.91,-98.38,-0.76,233.84,0.47,56.02,0.86
CA-NS5,"UCI-1981 burn
site",55.86,-98.49,-1.26,181.09,0.47,55.85,0.86
CA-NS6,"UCI-1989 burn
site",55.92,-98.96,-0.68,201.84,0.49,55.75,0.85
CA-NS7,"UCI-1998 burn
site",56.64,-99.95,-0.07,235.57,0.45,54.07,0.81
CA-Oas,"Saskatchewan -Western Boreal,
Mature Aspen",53.63,-106.2,2.09,479.05,0.49,57.78,0.64
CA-Obs,"Saskatchewan -Western Boreal,
Mature Black
Spruce",53.99,-105.12,1.47,486.01,0.48,59.72,0.75
CA-Qfo,"Quebec -Eastern Boreal,
Mature Black
Spruce",49.69,-74.34,1.63,936.57,0.42,69.2,1.55
CA-SF1,"Saskatchewan -Western Boreal,
forest burned in
1977",54.49,-105.82,0.88,499.9,0.47,57.5,0.77
CA-SF2,"Saskatchewan -Western Boreal,",54.25,-105.88,1.68,240.94,0.5,58.43,0.71
CA-SF3,"Saskatchewan -Western Boreal,
forest burned in
1998",54.09,-106.01,1.78,462.79,0.44,56.04,0.69
CA-TP1,"Ontario - Turkey
Point 2002
Plantation White
Pine",42.66,-80.56,8.77,1145.72,0.5,67.21,1.09
CA-TP2,"Ontario - Turkey
Point 1989
Plantation White
Pine",42.77,-80.46,8.58,1036,0.48,69.76,1.1
CA-TP3,"Ontario - Turkey
Point 1974
Plantation White
Pine",42.71,-80.35,8.95,1145.72,0.49,66.91,1.12
CA-TP4,"Ontario - Turkey
Point 1939
Plantation White
Pine",42.71,-80.36,8.54,1145.72,0.48,67.59,1.12
CA-TPD,"Ontario - Turkey
Point Mature
Deciduous",42.64,-80.56,9.69,991.4,0.48,67.11,1.1
CG-Tch,Tchizalamou,-4.29,11.66,24.22,1616.85,0.36,89.25,0.95
CH-Cha,Chamau,47.21,8.41,9.46,1141.6,0.43,62.03,1.41
CH-Dav,"Davos- Seehorn
forest",46.82,9.86,3.52,841.7,0.5,59.01,1.69
CH-Fru,Früebüel,47.12,8.54,7.88,1297.46,0.44,63.97,2.03
CH-Lae,Laegeren,47.48,8.37,7.72,1100,0.43,66.03,1.65
CH-Oe1,"Oensingen
grassland",47.29,7.73,9.28,1222.34,0.43,66.41,1.21
CH-Oe2,"Oensingen2
crop",47.29,7.73,9.59,1250.24,0.44,65.72,1.21
CN-Cha,Changbaishan,42.4,128.1,4.35,472.37,0.52,57.23,0.85
CN-Cng,Changling,44.59,123.51,7.88,332.85,0.56,40.8,0.49
CN-Dan,Dangxiong,30.5,91.07,2.17,520.15,0.62,48.01,0.4
CN-Din,Dinghushan,23.17,112.54,20.43,1361.71,0.36,71.17,1.37
CN-Ha2,"Haibei
Shrubland",37.61,101.33,-1.51,527.03,0.59,55.37,0.67
CN-HaM,"Haibei Alpine
Tibet site",37.37,101.18,-2.05,623.85,0.61,72.39,0.91
CN-Qia,Qianyanzhou,26.74,115.06,18.24,1169.91,0.36,68.07,1.2
CZ-BK1,Bily Kriz forest,49.5,18.54,7.5,1164.38,0.38,75.06,1.51
CZ-BK2,"Bily Kriz
grassland",49.49,18.54,7.86,1128.24,0.41,74.7,1.52
CZ-wet,CZECHWET,49.02,14.77,8.67,607.31,0.42,69.66,0.88
DE-Geb,Gebesee,51.1,10.91,9.64,529.17,0.41,72.17,0.66
DE-Gri,Grillenburg,50.95,13.51,8.59,909.89,0.41,71.69,1
DE-Hai,Hainich,51.08,10.45,8.3,754.62,0.39,74.15,1.04
DE-Kli,Klingenberg,50.89,13.52,7.95,796.24,0.44,72.93,1.07
DE-Lkb,Lackenberg,49.1,13.3,4.85,937.2,0.41,77.59,2.07
DE-Lnf,Leinefelde,51.33,10.37,5.9,493.92,0.31,75.75,1.22
DE-Obe,Oberbärenburg,50.78,13.72,6.49,1108.83,0.39,74.47,1.32
DE-Seh,Selhausen,50.87,6.45,10.88,527.72,0.43,71.41,1.08
DE-SfN,"Schechenfilz
Nord",47.81,11.33,8.91,1127,0.45,63.32,1.22
DE-Tha,Tharandt,50.96,13.57,8.77,846.72,0.41,70.89,0.99
DE-Zrk,Zarnekow,53.88,12.89,11.16,584,0.42,70.17,0.88
DK-Eng,Enghave,55.69,12.19,9.06,613,0.48,68.04,1.05
DK-Fou,Foulum,56.48,9.59,8.23,636.94,0.43,70,1.36
DK-NuF,Nuuk Fen,64.13,-51.39,-0.17,884.75,0.36,54.63,2.61
DK-Sor,Soroe,55.49,11.64,8.56,792.77,0.39,69.49,1.21
DK-ZaF,Zackenberg Fen,74.48,-20.55,-4.9,203.14,0.56,51.76,1.3
DK-ZaH,"Zackenberg
Heath",74.47,-20.55,-8.84,149.66,0.53,53,1.25
ES-Amo,Amoladeras,36.83,-2.25,17.84,316.56,0.62,30.75,0.22
ES-LJu,"Llano de los
Juanes",36.93,-2.75,11.82,625.21,0.57,45.85,0.57
ES-LgS,Laguna Seca,37.1,-2.97,6.1,401.71,0.65,57.98,0.89
FI-Hyy,Hyytiala,61.85,24.3,4.5,608.64,0.37,66.44,1.1
FI-Jok,Jokioinen,60.9,23.51,4.82,627,0.41,65.43,1.05
FI-Let,Lettosuo,60.64,23.96,4.38,594.8,0.34,65.99,1.09
FI-Lom,Lompolojänkkä,68,24.21,-0.1,535.12,0.39,62.33,1.17
FI-Sod,Sodankyla,67.36,26.64,0.7,536.72,0.42,62.77,1.18
FR-Fon,Fontainebleau-Barbeau,48.48,2.78,11.53,676.09,0.42,71.2,0.76
FR-Gri,Grignon,48.84,1.95,11.11,592.69,0.44,71.34,0.8
FR-LBr,"Le Bray (after
6/28/1998)",44.72,-0.77,13.43,950.12,0.42,63.97,1.05
FR-Pue,Puechabon,43.74,3.6,13.75,919.25,0.52,51.97,0.74
GF-Guy,"Guyaflux
(French Guiana)",5.28,-52.92,25.61,3125.95,0.48,64.32,1.88
GH-Ank,Ankasa,5.27,-2.69,25.34,1873.52,0.37,83.4,1.35
IT-BCi,Borgo Cioffi,40.52,14.96,18.12,1202.16,0.53,43.05,0.9
IT-CA1,Castel d'Asso 1,42.38,12.03,15.51,671.94,0.56,46.46,0.71
IT-CA2,Castel d'Asso 2,42.38,12.03,15.44,613.31,0.56,46.46,0.71
IT-CA3,Castel d'Asso 3,42.38,12.02,14.4,559.36,0.55,46.48,0.72
IT-Col,Collelongo-Selva Piana,41.85,13.59,7.42,1245.89,0.51,65.11,1.19
IT-Cp2,Castelporziano 2,41.7,12.36,16.06,805,0.5,41.48,0.75
IT-Cpz,Castelporziano,41.71,12.38,14.54,864.12,0.52,42.3,0.76
IT-Isp,Ispra ABC-IS,45.81,8.63,13.37,2001.13,0.47,46.01,1.25
IT-La2,Lavarone2,45.95,11.29,6.47,1314.4,0.5,62.1,1.1
IT-Lav,Lavarone,45.96,11.28,7.03,1269.9,0.51,62.35,1.1
IT-MBo,Monte Bondone,46.01,11.05,5.24,897.07,0.52,68.14,1.15
